"","term","judge_char","defendant_char","estimate","std.error","statistic","p.value","conf.low","conf.high","outcome","sig_level","controls","restriction"
"1","judge_age:defendant_age","judge_age","defendant_age",4.5980753971736e-05,3.33255548802465e-05,1.37974458750845,0.167728538159084,-1.93523442114602e-05,0.000111313852154932,"judgement_convicted_binary","insig","None",""
"2","judge_age:defendant_age","judge_age","defendant_age",4.73024205965093e-05,3.51175245551478e-05,1.34697479949723,0.17805933020302,-2.15460421412708e-05,0.000116150883334289,"judgement_convicted_binary","insig","Pers.",""
"3","judge_age:defendant_age","judge_age","defendant_age",3.87703116387688e-05,2.74813133417048e-05,1.41078816564171,0.158380534544139,-1.51074709756891e-05,9.26480942532268e-05,"judgement_convicted_binary","insig","Conv.",""
"4","judge_age:defendant_age","judge_age","defendant_age",0.00409411034072229,0.0231329713720837,0.176981602357532,0.859531189507656,-0.0412584670088477,0.0494466876902923,"punishment_prison_days","insig","None",""
"5","judge_age:defendant_age","judge_age","defendant_age",0.0065741095949426,0.0239151347875843,0.274893269610823,0.783413245522006,-0.0403136909033392,0.0534619100932244,"punishment_prison_days","insig","Pers.",""
"6","judge_age:defendant_age","judge_age","defendant_age",0.0162974497597096,0.0210748365744454,0.773313221297825,0.439386181371571,-0.025021918399394,0.0576168179188132,"punishment_prison_days","insig","Conv.",""
"7","judge_age:defendant_age","judge_age","defendant_age",-3.30226101055056,1.8990912138713,-1.73886382414402,0.0821467463204865,-7.02570049294618,0.421178471845045,"punishment_fine","*","None",""
"8","judge_age:defendant_age","judge_age","defendant_age",-3.60202933025184,1.99645391476846,-1.80421361274927,0.0712952913555209,-7.51654240676619,0.31248374626252,"punishment_fine","*","Pers.",""
"9","judge_age:defendant_age","judge_age","defendant_age",-3.47242865444822,1.80070528195154,-1.92837144937173,0.0539025441053406,-7.00316073319715,0.0583034243007075,"punishment_fine","*","Conv.",""
"10","judge_age:defendant_is_woman","judge_age","defendant_is_woman",-0.00105449859283422,0.00123596201530426,-0.853180421224059,0.393603203615332,-0.00347757033607765,0.0013685731504092,"judgement_convicted_binary","insig","None",""
"11","judge_age:defendant_is_woman","judge_age","defendant_is_woman",-0.00110489489594917,0.00127650604544664,-0.86556182000891,0.386778788770743,-0.00360750520284796,0.00139771541094962,"judgement_convicted_binary","insig","Pers.",""
"12","judge_age:defendant_is_woman","judge_age","defendant_is_woman",7.57479175385746e-05,0.00100297067091284,0.0755235618900339,0.939801718594362,-0.00189060045541611,0.00204209629049326,"judgement_convicted_binary","insig","Conv.",""
"13","judge_age:defendant_is_woman","judge_age","defendant_is_woman",-0.777879145025963,0.857386450011218,-0.907267831228013,0.364318617741191,-2.4588230300207,0.903064739968774,"punishment_prison_days","insig","None",""
"14","judge_age:defendant_is_woman","judge_age","defendant_is_woman",-0.723966737355375,0.876096192921632,-0.826355305735401,0.408654669029643,-2.44163313881508,0.993699664104326,"punishment_prison_days","insig","Pers.",""
"15","judge_age:defendant_is_woman","judge_age","defendant_is_woman",-0.361771560209688,0.775477744039942,-0.466514433186692,0.640874643882418,-1.88217482843862,1.15863170801924,"punishment_prison_days","insig","Conv.",""
"16","judge_age:defendant_is_woman","judge_age","defendant_is_woman",136.794892280451,73.5107325915907,1.86088326775972,0.0628485770265013,-7.33578912429047,280.925573685192,"punishment_fine","*","None",""
"17","judge_age:defendant_is_woman","judge_age","defendant_is_woman",127.914714517449,74.6742748971917,1.71296895341209,0.0868186960535864,-18.5016006310955,274.331029665994,"punishment_fine","*","Pers.",""
"18","judge_age:defendant_is_woman","judge_age","defendant_is_woman",181.925725618691,67.5448131994733,2.69340778368027,0.00711165223565292,49.4872632524197,314.364187984962,"punishment_fine","***","Conv.",""
"19","judge_age:defendant_some_foreign_background","judge_age","defendant_some_foreign_background",-0.000181348012690938,0.000970773634924218,-0.186807723414423,0.851819999692624,-0.0020845526729975,0.00172185664761563,"judgement_convicted_binary","insig","None",""
"20","judge_age:defendant_some_foreign_background","judge_age","defendant_some_foreign_background",-0.000131766751286825,0.000980422491676243,-0.134397927837764,0.893094210015125,-0.00205390056454726,0.00179036706197362,"judgement_convicted_binary","insig","Pers.",""
"21","judge_age:defendant_some_foreign_background","judge_age","defendant_some_foreign_background",-0.000713776015867398,0.000769249944103164,-0.927885690910981,0.353519746113026,-0.00222190922439487,0.000794357192660078,"judgement_convicted_binary","insig","Conv.",""
"22","judge_age:defendant_some_foreign_background","judge_age","defendant_some_foreign_background",0.630475658477488,0.656632015251979,0.960165882614704,0.337031687148318,-0.656901867099963,1.91785318405494,"punishment_prison_days","insig","None",""
"23","judge_age:defendant_some_foreign_background","judge_age","defendant_some_foreign_background",0.730699907036415,0.664874401547721,1.09900442148993,0.271836055033865,-0.572846929436715,2.03424674350955,"punishment_prison_days","insig","Pers.",""
"24","judge_age:defendant_some_foreign_background","judge_age","defendant_some_foreign_background",0.742927580327406,0.587285201359436,1.26502009348727,0.205943383187552,-0.408504999642783,1.8943601602976,"punishment_prison_days","insig","Conv.",""
"25","judge_age:defendant_some_foreign_background","judge_age","defendant_some_foreign_background",32.8115179124631,56.393970795738,0.581826699724837,0.56072493398605,-77.7609991598223,143.384034984748,"punishment_fine","insig","None",""
"26","judge_age:defendant_some_foreign_background","judge_age","defendant_some_foreign_background",9.72863873309897,55.8731414726194,0.174120131366991,0.861782473287606,-99.8236736456573,119.280951111855,"punishment_fine","insig","Pers.",""
