"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","df","outcome","sig_level"
"1","(Intercept)",-153.087466106433,188.819792788957,-0.81075963406833,0.423157752113459,-536.85309086467,230.678158651805,33.9097115475071,"punishment_prison_days","insig"
"2","defendant_age",0.795004509830009,0.681977286024448,1.16573458694563,0.246551576729706,-0.558359873191267,2.14836889285129,97.9846248960983,"punishment_prison_days","insig"
"3","defendant_some_foreign_background",-28.444370973573,13.077503346101,-2.17506126519582,0.0332405285243709,-54.558082965819,-2.33065898132687,65.5115543385669,"punishment_prison_days","**"
"4","defendant_log_net_income",-3.63825962517089,3.57021250700521,-1.01905968287102,0.312022868009219,-10.7709871896896,3.49446793934786,63.8104002450713,"punishment_prison_days","insig"
"5","case_is_not_oslo",14.5299780634159,13.8934921458904,1.04581180244981,0.300112365040978,-13.2980713383566,42.3580274651885,56.3634406401004,"punishment_prison_days","insig"
"6","defendant_is_married",20.4237900363523,34.098102885626,0.598971447322422,0.551880392896029,-48.0543017061577,88.9018817788623,50.2953522682851,"punishment_prison_days","insig"
"7","judge_age",0.976742256523915,0.54056595433019,1.8068882227964,0.0749253195205894,-0.100713409867578,2.05419792291541,72.5631748510705,"punishment_prison_days","*"
"8","judge_is_woman",10.3596977526584,14.9042411798528,0.695083877645673,0.488397967201664,-19.1611990451607,39.8805945504775,115.565737778417,"punishment_prison_days","insig"
"9","judge_some_foreign_background",4.00186169444231,29.6296684875348,0.135062655058928,0.894835913976469,-60.6676924365333,68.6714158254179,11.8153858057021,"punishment_prison_days","insig"
"10","judge_log_net_income",14.0039875338704,14.8159764307208,0.945195046668219,0.351837189378645,-16.2080740863839,44.2160491541247,31.1353068062322,"punishment_prison_days","insig"
"11","judge_is_married",-20.5884652531749,19.8448069514108,-1.03747369795962,0.301950487898696,-59.9470915629069,18.7701610565572,102.751295553569,"punishment_prison_days","insig"
"12","convicted_stay_of_execution_.conditional_imprisonment_.",-8.64010529540992,17.0925339236786,-0.50549001885792,0.61717991154047,-43.6561593304857,26.3759487396658,27.9365044834856,"punishment_prison_days","insig"
"13","convicted_bodily_injury",77.3470386250526,32.6039262146714,2.37232283363,0.0345202727498903,6.61039920087777,148.083678049228,12.4789442232202,"punishment_prison_days","**"
"14","convicted_drug_offense",12.1618955973722,33.4818645621691,0.363238300985,0.719038553669376,-56.2903745218786,80.614165716623,29.2541488786837,"punishment_prison_days","insig"
"15","convicted_illegal_arming_in_a_public_place",-29.3390128155492,52.1076588204579,-0.563046075753272,0.584098131282588,-143.277413282447,84.5993876513487,11.6267389592824,"punishment_prison_days","insig"
"16","convicted_participation",69.3699678663512,105.755770861378,0.655944988167874,0.519275813475446,-151.119510863535,289.859446596238,20.1614490970777,"punishment_prison_days","insig"
"17","convicted_courtesy",-130.317382428146,63.1532901021365,-2.0635089987772,0.0673808338686938,-271.987318272388,11.352553416096,9.52564215921205,"punishment_prison_days","*"
"18","convicted_general_violation_of_traffic_act_1",-43.9278053314526,21.9261559967169,-2.00344307219333,0.0502043957629692,-87.8962022001518,0.0405915372465699,53.5163271098008,"punishment_prison_days","*"
"19","convicted_drinking_within_six_hours_of_traffic_investigation",-11.8059407145267,13.6681218055625,-0.863757353239425,0.392925376050005,-39.4393450544822,15.8274636254288,39.5815638533791,"punishment_prison_days","insig"
"20","convicted_acquisition_possession_and_use_of_drugs",-1.10799643108111,26.6072354400009,-0.0416426739854139,0.972330419317578,-207.154231856977,204.938238994814,1.27593460324961,"punishment_prison_days","insig"
"21","convicted_section_24_of_the_medicines_act_other",4.8805091987876,37.8412488069387,0.128973259410316,0.912967890720551,-234.652164713184,244.413183110759,1.44782060763208,"punishment_prison_days","insig"
"22","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime.",-7.74622347831427,21.995783772153,-0.352168559145463,0.725581150512532,-51.4780273481633,35.9855803915347,85.2304648532736,"punishment_prison_days","insig"
"23","convicted_road_traffic_act_other_1",30.8977525659104,27.3569485406817,1.12942978709644,0.277462103510234,-27.7075256824609,89.5030308142816,14.1793252206943,"punishment_prison_days","insig"
"24","convicted_violating_traffic_signage_act",NA,NA,NA,NA,NA,NA,NA,"punishment_prison_days","insig"
"25","convicted_temporary_suspension_of_driving_lisence",10.5416739919727,17.5346459245668,0.601191152494465,0.549837431284394,-24.4882080035494,45.5715559874948,63.96209042872,"punishment_prison_days","insig"
"26","convicted_assault_and_battery",-50.91609023054,18.2914909412001,-2.78359431684465,0.00931701474425834,-88.3094622424624,-13.5227182186175,29.305406357401,"punishment_prison_days","***"
"27","convicted_reckless_behavior",-18.8874036969724,27.9782025849634,-0.675075664336037,0.513930693993764,-80.6672206143862,42.8924132204414,10.7153005551818,"punishment_prison_days","insig"
"28","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint",17.8737059295867,37.375585400135,0.478218755324756,0.6450828071202,-68.0671152907541,103.814527149927,8.13450430402294,"punishment_prison_days","insig"
"29","convicted_damage",6.89217083475624,37.1513019996935,0.185516266288947,0.855607480107762,-73.1387366214908,86.9230782910033,13.37745993315,"punishment_prison_days","insig"
"30","convicted_threats",-0.848780159658391,27.4817627180294,-0.0308852153468871,0.975705808124895,-58.6453417722853,56.9477814529685,17.7450380377144,"punishment_prison_days","insig"
"31","convicted_grievous_bodily_harm",679.793208124458,83.9000535607473,8.10241685521997,0.00165168942512374,440.592265951665,918.994150297251,3.74989765677282,"punishment_prison_days","***"
