"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","df","outcome","sig_level"
"1","(Intercept)",-271.893394094019,193.752161341364,-1.4033050894074,0.167990815969509,-663.082958967359,119.296170779321,41.3510698962314,"punishment_prison_days","insig"
"2","defendant_age",1.45318709312566,0.6962304817333,2.08722130279025,0.0390977473059603,0.0739528377000089,2.83242134855132,113.945827795731,"punishment_prison_days","**"
"3","defendant_some_foreign_background",-21.6685264047223,10.3271613775542,-2.0982073981935,0.0387442571337162,-42.1906990158812,-1.14635379356334,88.2748362047127,"punishment_prison_days","**"
"4","defendant_log_net_income",-4.93027975061046,3.11742607832668,-1.58152258521455,0.117625728809155,-11.1322537122734,1.27169421105244,81.630405937775,"punishment_prison_days","insig"
"5","case_is_not_oslo",13.9492451189469,14.719836165303,0.947649482120421,0.346679812387217,-15.4263181559077,43.3248083938014,67.6708022635489,"punishment_prison_days","insig"
"6","defendant_is_married",10.790129225984,29.3377898208771,0.367789437850072,0.714316339022113,-47.8865401241772,69.4667985761451,60.3826377457018,"punishment_prison_days","insig"
"7","judge_age",0.763759891511562,0.528520804379083,1.44508955027578,0.151998894055113,-0.286624203348043,1.81414398637117,87.6404706145408,"punishment_prison_days","insig"
"8","judge_is_woman",4.48378916403499,10.9072591611859,0.411083031747408,0.681596632778222,-17.067408998362,26.034987326432,150.44066762122,"punishment_prison_days","insig"
"9","judge_some_foreign_background",-37.0633426256325,55.4558817274773,-0.668339254035669,0.51725283244489,-158.635336859503,84.5086516082381,11.3721613422262,"punishment_prison_days","insig"
"10","judge_log_net_income",21.9894032193359,15.7771210619299,1.39375258217396,0.171397341651691,-9.93758665428571,53.9163930929575,38.4444709285669,"punishment_prison_days","insig"
"11","judge_is_married",-34.7436141971696,18.9449038755202,-1.83392929441378,0.0690684129538366,-72.2418354933515,2.75460709901221,123.682076724064,"punishment_prison_days","*"
"12","convicted_stay_of_execution_.conditional_imprisonment_.",3.32392158550629,18.9939385651837,0.174999070050648,0.862259025714887,-35.470908824733,42.1187519957456,29.9258138630121,"punishment_prison_days","insig"
"13","convicted_bodily_injury",59.7330992416231,43.4359564407876,1.37519935408932,0.187039598426811,-31.9550568124416,151.421255295688,16.8880489332021,"punishment_prison_days","insig"
"14","convicted_drug_offense",-19.7172462515377,29.0057499214578,-0.679770262962633,0.500719579566143,-78.4124698444559,38.9779773413805,38.4760157092836,"punishment_prison_days","insig"
"15","convicted_illegal_arming_in_a_public_place",32.7652720285305,36.4564569559775,0.898750859637727,0.393177380885594,-50.2510347935437,115.781578850605,8.62744436204318,"punishment_prison_days","insig"
"16","convicted_participation",141.500952227128,101.281675177374,1.39710319738806,0.175499900478601,-67.8254958431678,350.827400297424,23.3849104668361,"punishment_prison_days","insig"
"17","convicted_courtesy",-48.4208962744119,41.7330144314895,-1.16025398438211,0.272439007139531,-141.188612337606,44.3468197887825,10.1774005063685,"punishment_prison_days","insig"
"18","convicted_general_violation_of_traffic_act_1",-32.035468525812,20.0777681054327,-1.59556920657649,0.115638678417558,-72.1653899069557,8.09445285533183,62.3880506177126,"punishment_prison_days","insig"
"19","convicted_drinking_within_six_hours_of_traffic_investigation",-11.9374309076301,14.8417107713517,-0.804316368344303,0.424689186269557,-41.6831831948329,17.8083213795727,54.8115083480518,"punishment_prison_days","insig"
"20","convicted_acquisition_possession_and_use_of_drugs",32.5716802803287,23.7179869604457,1.37329025159885,0.372242902368771,-174.233435972992,239.376796533649,1.19482468260855,"punishment_prison_days","insig"
"21","convicted_section_24_of_the_medicines_act_other",5.38764623899433,27.5502235020413,0.195557260673226,0.870610417238123,-194.307697007022,205.082989485011,1.32694677269323,"punishment_prison_days","insig"
"22","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime.",-4.72783791138469,19.1863616531951,-0.246416595123306,0.805795139503682,-42.7287095410818,33.2730337183124,116.039157207505,"punishment_prison_days","insig"
"23","convicted_road_traffic_act_other_1",NA,NA,NA,NA,NA,NA,NA,"punishment_prison_days","insig"
"24","convicted_violating_traffic_signage_act",-0.100867804934181,32.9507826019219,-0.00306116568315733,0.997589469820221,-69.06915256305,68.8674169531816,18.993879586447,"punishment_prison_days","insig"
"25","convicted_temporary_suspension_of_driving_lisence",23.9663426440599,16.0361878035534,1.49451621156178,0.13925042796076,-7.98113163118455,55.9138169193043,74.7501865328693,"punishment_prison_days","insig"
"26","convicted_assault_and_battery",-42.5462579592692,15.7080835800232,-2.70855816004045,0.0095669542901474,-74.1970167431147,-10.8954991754238,44.3374308843979,"punishment_prison_days","***"
"27","convicted_reckless_behavior",-25.6319619298441,27.6878531208682,-0.925747540553276,0.369429822059504,-84.7177052466998,33.4537813870116,14.7973211160477,"punishment_prison_days","insig"
"28","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint",78.9721173889505,33.4640261819786,2.3599108176493,0.0460749093517656,1.75523588938988,156.188998888511,7.97111653171582,"punishment_prison_days","**"
"29","convicted_damage",-6.04853820824976,26.5373225797294,-0.227925714437746,0.821610208529967,-60.7819752191508,48.6848988026512,24.3097315974708,"punishment_prison_days","insig"
"30","convicted_threats",-0.40250902745773,25.8675922906724,-0.0155603591913296,0.987720952019085,-53.9498741017974,53.144856046882,22.7225826266361,"punishment_prison_days","insig"
"31","convicted_grievous_bodily_harm",667.669845102795,67.1500465694666,9.94295431220725,5.63631732436847e-07,520.578392168466,814.761298037125,11.449466371378,"punishment_prison_days","***"
"32","convicted_serious_drug_offense",419.555569485268,139.369687931917,3.01037891173455,0.00613721403784759,131.608307596394,707.502831374143,23.533011400633,"punishment_prison_days","***"
"33","convicted_aggravated_assault",-33.0319707947921,21.0495047425137,-1.56925168543645,0.122398182314548,-75.2282319185332,9.16429032894899,54.3065417799495,"punishment_prison_days","insig"
"34","convicted_intention_of_committing_an_offens",-34.477910653561,39.0869869620295,-0.882081565587393,0.433084617612168,-148.333519022261,79.3776977151393,3.57151565953697,"punishment_prison_days","insig"
"35","convicted_theft",-45.644646648324,31.5717575523589,-1.44574297368863,0.157791380545397,-109.906850932148,18.6175576354996,32.6128414717408,"punishment_prison_days","insig"
"36","convicted_road_traffic_act_other_5",80.0902775650754,39.4439855871129,2.03048136168172,0.0673537746480873,-6.79125447016888,166.97180960032,10.9320263803774,"punishment_prison_days","*"
"37","convicted_violating_basic_traffic_rules",-10.4617319076881,14.0710966334939,-0.743490872117647,0.464172809253154,-39.4540438356834,18.5305800203072,24.7917899014592,"punishment_prison_days","insig"
"38","convicted_loss_of_the_right_to_drive_a_motor_vehicle.",2.55706106106298,12.0753012654209,0.211759607885348,0.833538430244547,-21.9682341907536,27.0823563128796,34.561213492706,"punishment_prison_days","insig"
"39","convicted_obstruction_of_a_public_official",1.19759590712738,15.5864924673472,0.0768354977642517,0.939257931392709,-30.616846291764,33.0120381060188,30.3969465565275,"punishment_prison_days","insig"
"40","convicted_aggravated_theft",57.883474437512,60.1877381361322,0.961715396358501,0.348737421769818,-68.4239777692954,184.190926644319,18.2873970675821,"punishment_prison_days","insig"
"41","convicted_fraud",-47.9376557182302,29.8442124843486,-1.60626304826675,0.11928091741122,-109.032352897331,13.1570414608708,28.3961626389217,"punishment_prison_days","insig"
"42","convicted_judgment_in_arrears",-19.0543438728023,48.3170015604268,-0.394361058373465,0.712799377450142,-151.459937216605,113.351249471001,4.13781939566189,"punishment_prison_days","insig"
"43","convicted_abuse_in_close_relationships",42.5349160124207,55.2635826697953,0.769673516582712,0.453747745811136,-75.5214204403047,160.591252465146,14.6233487507786,"punishment_prison_days","insig"
"44","convicted_violence_threats_vandalism_or_other_unlawful_conduct_against_a_public_official",-23.4954562253321,15.1577137192554,-1.55006597040324,0.12446834479116,-53.5893764329937,6.59846398232945,94.4999692302495,"punishment_prison_days","insig"
"45","convicted_violation_of_police_act",-7.26071605279191,15.933827038973,-0.455679356568433,0.653377358212307,-40.4317209413527,25.9102888357689,20.644310001785,"punishment_prison_days","insig"
"46","convicted_serious_fraud",31.5997071763958,27.8085179261723,1.13633194189955,0.262307340784605,-24.532452132517,87.7318664853086,41.6916801456501,"punishment_prison_days","insig"
"47","convicted_disorderly_conduct",-9.4797929902486,18.8454254285147,-0.503028866406215,0.619156465290895,-48.2071029161976,29.2475169357004,26.1389104740779,"punishment_prison_days","insig"
"48","convicted_minor_theft",27.0547553163425,32.0565497804113,0.843969656799271,0.406121364026932,-38.7278894739125,92.8374001065975,26.929677892525,"punishment_prison_days","insig"
"49","convicted_unauthorized_entry_or_stay",-22.8628767772698,34.0672723164851,-0.671109696276048,0.509022836533233,-93.4470820801357,47.7213285255961,22.3661161648066,"punishment_prison_days","insig"
"50","convicted_theft_of_motor_vehicles_etc",15.6129991745446,50.3422583789563,0.310137043455942,0.768859096797939,-113.447464444205,144.673462793294,5.04526487303427,"punishment_prison_days","insig"
"51","convicted_road_traffic_act_other_4",23.6073012648959,22.4053116859024,1.05364752768647,0.353482635174712,-39.5020281936559,86.7166307234476,3.85967037661472,"punishment_prison_days","insig"
"52","convicted_incorrect_explanation",18.7037448942715,31.5328160158181,0.593151746576929,0.556853913909817,-45.2874921248717,82.6949819134146,35.3677066846343,"punishment_prison_days","insig"
"53","convicted_document_forgery",35.8356854932988,39.8362603273429,0.899574538343446,0.392618033972798,-54.7885980465439,126.459969033142,8.68034864386082,"punishment_prison_days","insig"
