"","term","estimate","std.error","statistic","p.value","sig_level"
"1","(Intercept)",2.76415133177664,0.585460306274917,4.72133004091086,2.34307376148295e-06,"***"
"2","defendant_is_woman",-0.226719811148365,0.0850752253444086,-2.66493341898937,0.00770035668268815,"***"
"3","defendant_some_foreign_background",-0.0527667814916892,0.0644211102102603,-0.819091464264846,0.412734231512542,"not sig."
"4","defendant_age",0.0079577502441356,0.00225486628194311,3.52914507962667,0.000416904508476216,"***"
"5","defendant_log_net_income",-0.0135943391270346,0.00616543792272277,-2.20492677039737,0.0274592336258197,"**"
"6","case_is_not_oslo",0.169848606812376,0.0731997961248596,2.32034262120974,0.0203223501970393,"**"
"7","defendant_is_married",-0.0494387746643699,0.0967998087816424,-0.510732152125342,0.609538623706272,"not sig."
"8","judge_age",0.0081086623672977,0.00237377503099088,3.41593548732919,0.000635633036843873,"***"
"9","judge_is_woman",0.0399904822780801,0.05195740497407,0.76967820656243,0.441490800824277,"not sig."
"10","judge_some_foreign_background",-0.267527698657935,0.134351380357708,-1.99125381477769,0.046452990217732,"**"
"11","judge_log_net_income",0.00179396951318331,0.0443307560458006,0.0404678303101769,0.967720153716396,"not sig."
"12","judge_is_married",0.0257814796607087,0.0548433540043977,0.470093051906369,0.638288538023908,"not sig."
"13","convicted_stay_of_execution_.conditional_imprisonment_.",0.0899498412947817,0.134412472434681,0.669207549459322,0.503363091104013,"not sig."
"14","convicted_bodily_injury",1.13497270268167,0.118677445273912,9.56350804537556,1.13831392322949e-21,"***"
"15","convicted_drug_offense",0.429001089334427,0.0874253770947276,4.9070544913932,9.24543529119325e-07,"***"
"16","convicted_illegal_arming_in_a_public_place",0.201528162188122,0.138753899258529,1.45241440611792,0.146386413018574,"not sig."
"17","convicted_participation",0.124461223086602,0.128008336137831,0.972289983931903,0.330906305293435,"not sig."
"18","convicted_courtesy",0.787578211734502,0.195086927821957,4.03706296740329,5.4124545333386e-05,"***"
"19","convicted_general_violation_of_traffic_act_1",-0.357753847281984,0.105891483028444,-3.37849501253926,0.000728837545131169,"***"
"20","convicted_drinking_within_six_hours_of_traffic_investigation",0.0493384938433917,0.094952535474898,0.51961217882839,0.603333907894035,"not sig."
"21","convicted_acquisition_possession_and_use_of_drugs",0.852845814058768,0.42025336335296,2.02936106746273,0.042421527506419,"**"
"22","convicted_section_24_of_the_medicines_act_other",-0.998460122169049,0.426173529790575,-2.34284875144569,0.0191371392445074,"**"
"23","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime.",0.0113819424484648,0.0619041979632352,0.183863822211613,0.854120286597876,"not sig."
