"","term","estimate","std.error","statistic","p.value","sig_level"
"1","(Intercept)",2.77481100082879,0.587195148266156,4.72553461829875,2.29510729255597e-06,"***"
"2","judge_age",0.00635855705239996,0.00271190968619559,2.34467876447614,0.0190434790421739,"**"
"3","defendant_some_foreign_background",-0.325869662212325,0.209611953444146,-1.55463301046501,0.120033497257901,"not sig."
"4","defendant_age",0.00807974867198128,0.00224802809399666,3.59414933183361,0.00032545314545141,"***"
"5","defendant_is_woman",-0.235885310041864,0.0756227419778563,-3.11923773024437,0.00181319602051536,"***"
"6","defendant_log_net_income",-0.0133288808995122,0.00614235507480194,-2.16999517891628,0.0300072111740335,"**"
"7","case_is_not_oslo",0.174375058719321,0.0729851242893759,2.38918629538738,0.0168857375763909,"**"
"8","defendant_is_married",-0.0590569144376388,0.0964997376061492,-0.611990414716688,0.5405440994002,"not sig."
"9","judge_is_woman",0.0453378861227461,0.051797887879097,0.875284456164904,0.381419149524284,"not sig."
"10","judge_some_foreign_background",-0.266351317704192,0.133978016636545,-1.98802254571919,0.0468091965424479,"**"
"11","judge_log_net_income",0.00685446632802547,0.044191107167133,0.155109631041864,0.876734889606736,"not sig."
"12","judge_is_married",0.0279490762556795,0.0547135795696419,0.510825218812538,0.609473448604774,"not sig."
"13","convicted_stay_of_execution_.conditional_imprisonment_.",0.0896503151265368,0.133996903985654,0.669047660505164,0.503465075753696,"not sig."
"14","convicted_bodily_injury",1.11609250544636,0.11831899065954,9.43291097418064,3.9886273977745e-21,"***"
"15","convicted_drug_offense",0.414899071278303,0.0871442751689783,4.76105940951126,1.92579342047702e-06,"***"
"16","convicted_illegal_arming_in_a_public_place",0.212863579281944,0.138325007244311,1.53886548443105,0.123837139013924,"not sig."
"17","convicted_participation",0.111133589826436,0.127620924895861,0.870810095735647,0.383857851929372,"not sig."
"18","convicted_courtesy",0.782286701358309,0.194493367583112,4.02217675121501,5.76627597857805e-05,"***"
"19","convicted_general_violation_of_traffic_act_1",-0.374889991236425,0.10551579813569,-3.55292759814344,0.000380969303326659,"***"
"20","convicted_drinking_within_six_hours_of_traffic_investigation",0.0416427413255764,0.0946631145226741,0.439904618980204,0.660006190359475,"not sig."
"21","convicted_acquisition_possession_and_use_of_drugs",0.829679446145929,0.419103704929092,1.97965190092104,0.0477426567648221,"**"
"22","convicted_section_24_of_the_medicines_act_other",-0.977242832676591,0.425048704661745,-2.29913142178444,0.0214974777183317,"**"
"23","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime.",0.0141094379667843,0.0617127884977177,0.228630698924034,0.819155962172479,"not sig."
"24","convicted_road_traffic_act_other_1",-0.433399247659234,0.530261029319629,-0.817331886929957,0.413738788927364,"not sig."
"25","convicted_violating_traffic_signage_act",0.196191199085096,0.539136923827467,0.363898650629019,0.715933692319774,"not sig."
"26","convicted_temporary_suspension_of_driving_lisence",0.386070882658353,0.0894567076822183,4.31572872131415,1.590772425675e-05,"***"
"27","convicted_assault_and_battery",0.28522074514477,0.0862780436920812,3.30583231769485,0.000946947386646525,"***"
"28","convicted_reckless_behavior",0.669226519637685,0.165319969443093,4.0480682514767,5.16420890065058e-05,"***"
"29","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint",0.834102842246084,0.155781509158136,5.35431224638719,8.58824438571439e-08,"***"
"30","convicted_damage",0.0948056043744692,0.13875535442883,0.683257267906706,0.494444291137317,"not sig."
"31","convicted_threats",0.54755625949586,0.117602963300927,4.65597332011738,3.22453692352049e-06,"***"
