"","char","mean_sentence_length_0","mean_sentence_length_1","count_0","count_1","Difference","regression_all_data_days","regression_all_data_days_sig_level","regression_all_data_days_conf_low","regression_all_data_days_conf_high","regression_prison_only_days","regression_prison_only_days_sig_level","regression_prison_only_days_conf_low","regression_prison_only_days_conf_high","regression_prison_only_percentage","regression_prison_only_percentage_sig_level","regression_prison_only_percentage_conf_low","regression_prison_only_percentage_conf_high","regression_prison_only_days_no_contr","regression_prison_only_days_sig_level_no_contr","regression_prison_only_days_conf_low_no_contr","regression_prison_only_days_conf_high_no_contr","regression_prison_only_days_pers","regression_prison_only_days_sig_level_pers","regression_prison_only_days_conf_low_pers","regression_prison_only_days_conf_high_pers"
"1","judge_age",NA,NA,NA,NA,NA,1.24189724606629,"***",0.441422592206377,2.04237189992621,1.685550481012,"***",0.677035570554423,2.69406539146959,0.580544008139834,"***",0.00239535875463381,0.00921552140816287,2.37411642554053,"***",1.36539915455869,3.38283369652236,2.3853752124905,"***",0.982387498950931,3.78836292603007
"2","judge_is_woman",119.211976047904,107.286353467561,1670,1788,-11.925622580343,-1.05073938740683,"insig",-16.5568851321519,14.4554063573382,-0.748743053602614,"insig",-19.4136945393352,17.91620843213,1.19922626778202,"insig",-0.0565380835480984,0.080379934069638,-11.9256225803425,"insig",-36.2620326447202,12.4107874840352,-4.40966269748407,"insig",-27.852309449299,19.0329840543309
"3","judge_some_foreign_background",115.527650473572,73.5488721804511,3273,133,-41.978778293121,-18.0471994381541,"insig",-49.2910964285259,13.1966975522176,-26.2784686192865,"insig",-62.1033681179093,9.54643087933627,-15.7924171520729,"*",-0.363895577187735,0.0201251547508967,-41.9787782931207,"**",-76.1921503146358,-7.76540627160553,-22.0665976312802,"insig",-56.691066323278,12.5578710607177
"4","judge_log_net_income",NA,NA,NA,NA,NA,-13.5871222448836,"insig",-47.7896199366183,20.615375446851,-19.9130374044722,"insig",-66.6881358063248,26.8620609973803,-0.0245908625869523,"insig",-0.148933998481585,0.0997522733076806,2.84769616213246,"insig",-75.7758684639843,81.4712607882493,-13.9965096845109,"insig",-69.1773985402815,41.1843791712597
"5","judge_is_married",94.8921513269339,132.103141671606,1771,1687,37.2109903446722,6.32755846612367,"insig",-11.8679296447635,24.5230465770108,5.82777725165566,"insig",-15.2405171843337,26.896071687645,-2.86133412877297,"insig",-0.0999388500014831,0.0418774835068933,37.2109903446729,"***",13.1801447429707,61.2418359463751,19.5551873732226,"insig",-7.2042305342975,46.3146052807428
