"","char","mean_sentence_length_0","mean_sentence_length_1","count_0","count_1","Difference","regression_all_data_days","regression_all_data_days_sig_level","regression_all_data_days_conf_low","regression_all_data_days_conf_high","regression_prison_only_days","regression_prison_only_days_sig_level","regression_prison_only_days_conf_low","regression_prison_only_days_conf_high","regression_prison_only_percentage","regression_prison_only_percentage_sig_level","regression_prison_only_percentage_conf_low","regression_prison_only_percentage_conf_high"
"1","convicted_stay_of_execution_.conditional_imprisonment_.",80.2595419847328,58.8928571428572,131,28,-21.3666848418757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","convicted_bodily_injury",177.611940298507,168.214285714286,268,14,-9.3976545842217,-19.2958987722493,"insig",-107.57963371365,68.9878361691512,18.8624347007249,"insig",-75.9220309267109,113.646900328161,8.4675403459304,"insig",-0.353838580846474,0.516400130675153
"3","convicted_drug_offense",173.511904761905,207.943396226415,504,53,34.4314914645103,15.2176632754389,"insig",-40.6389545423256,71.0742810932035,46.1552532662883,"insig",-22.1868769993654,114.497383531942,47.5645467960558,"**",0.0162246602783377,0.761966338656571
"4","convicted_illegal_arming_in_a_public_place",139.152941176471,119.4,170,10,-19.7529411764706,16.6475139669491,"insig",-80.0717360132504,113.366763947149,-44.9459169628887,"insig",-170.956064221087,81.0642302953092,-58.4827194668562,"**",-1.60324099448845,-0.154879899575911
"5","convicted_participation",220.582474226804,268.217391304348,194,23,47.6349170775438,114.779703525722,"insig",-53.5102507484437,283.069657799888,68.1509419662293,"insig",-100.025865698295,236.327749630753,-17.7528554214805,"insig",-0.672285160383957,0.281402133752314
"6","convicted_courtesy",148.666666666667,114,75,8,-34.6666666666667,-99.6504084265699,"**",-194.957885787197,-4.34293106594258,-195.311785343508,"**",-376.414644200927,-14.2089264860883,-63.7760105413972,"***",-1.67489230499733,-0.356004883829269
"7","convicted_general_violation_of_traffic_act_1",54.3393501805055,38.6968325791855,1662,221,-15.6425176013199,40.8102633954779,"insig",-15.6038219479485,97.2243487389043,51.9965255651549,"insig",-16.3971193843992,120.390170514709,8.19114564872934,"insig",-0.304134230051427,0.461592917820888
"8","convicted_drinking_within_six_hours_of_traffic_investigation",55.7696160267112,36.0872093023256,1198,172,-19.6824067243856,-22.3443392694692,"insig",-57.0724598245594,12.383781285621,-13.0042336849236,"insig",-48.9280351823238,22.9195678124766,-9.24151876519515,"insig",-0.395344165250439,0.201407645096157
"9","convicted_acquisition_possession_and_use_of_drugs",79.7009345794393,74.04,428,50,-5.66093457943926,-100.420761744784,"insig",-646.201619965652,445.360096476083,-106.862498222419,"insig",-615.770073541225,402.045077096388,-46.3555873159319,"insig",-3.07903981725294,1.83345408494389
"10","convicted_section_24_of_the_medicines_act_other",75.6274038461539,77.1702127659575,416,47,1.54280891980359,140.173535378764,"insig",-340.975171099704,621.322241857232,136.297281020173,"insig",-321.357596168382,593.952158208727,89.0162245596433,"insig",-1.52020041832457,2.79352575756069
"11","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime.",108.915974145891,60.8544303797468,1083,158,-48.0615437661442,-15.6294402490581,"insig",-53.554183185417,22.2953026873008,-17.8965341113858,"insig",-60.2333772434268,24.4403090206553,-12.3783362379632,"insig",-0.316719736970491,0.0524359061693954
"12","convicted_road_traffic_act_other_1",43.7532467532467,52.8666666666667,231,15,9.11341991341992,-7.72561994505544,"insig",-86.9083734674676,71.4571335773567,NA,"insig",NA,NA,NA,"insig",NA,NA
"13","convicted_violating_traffic_signage_act",42.9497716894977,52.8666666666667,219,15,9.91689497716896,NA,"insig",NA,NA,44.2913886782795,"insig",-10.1967818457803,98.7795592023392,33.9047294487302,"insig",-0.234952342068448,0.818869115743551
"14","convicted_temporary_suspension_of_driving_lisence",84.2471098265896,76.2222222222223,692,63,-8.02488760436731,2.24433168909071,"insig",-28.865825465253,33.3544888434344,-4.90740347836938,"insig",-40.6909797371258,30.876172780387,-1.43835592172402,"insig",-0.270784898348434,0.241808887642421
"15","convicted_assault_and_battery",91.970695970696,29.1333333333333,546,45,-62.8373626373626,-6.96630077387417,"insig",-42.9516113649709,29.0190098172226,4.15895986591027,"insig",-42.9283458397799,51.2462655716005,-6.04449487608649,"insig",-0.355609702039658,0.230911970981568
"16","convicted_reckless_behavior",93.3861386138614,37.6875,101,16,-55.6986386138614,-30.5305725081551,"insig",-97.4756216868105,36.4144766705003,-38.9220475051998,"insig",-135.158159007216,57.3140639968167,-26.6432409490835,"insig",-0.825811230896217,0.206140155474139
"17","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint",155.589928057554,166.666666666667,139,6,11.0767386091128,100.978968292877,"**",5.22587212870243,196.732064457052,60.9438829469469,"insig",-51.3061153630731,173.193881256967,13.6008220786451,"insig",-0.609331395470237,0.86437250923137
"18","convicted_damage",102.467105263158,37.6,152,25,-64.8671052631579,-9.69861739826495,"insig",-76.4772696177065,57.0800348211766,13.3588944453116,"insig",-100.263283738253,126.981072628876,22.3274529650819,"insig",-0.47827243551618,0.881335043191622
"19","convicted_threats",92.7854251012146,50.0526315789474,247,19,-42.7327935222672,18.9264519912944,"insig",-40.1921280754754,78.0450320580642,30.5584906986865,"insig",-45.1525596252794,106.269541022652,-6.77874389348634,"insig",-0.606012029866385,0.465623188890118
