"","circ_group_2","n","sum"
"1","aggravating_cause_personal_gain",6,93
"2","aggravating_cause_revenge",2,3
"3","aggravating_cause_sexual",3,3
"4","aggravating_driving_accident",8,30
"5","aggravating_driving_busy",16,51
"6","aggravating_driving_children",1,1
"7","aggravating_driving_day",2,5
"8","aggravating_driving_distance",14,24
"9","aggravating_driving_drugs",4,940
"10","aggravating_driving_failed_to_stop",14,16
"11","aggravating_driving_illegal_parking",1,1
"12","aggravating_driving_intoxication",6,12
"13","aggravating_driving_license",4,605
"14","aggravating_driving_license_plate",8,9
"15","aggravating_driving_negligence",1,1
"16","aggravating_driving_negligent",1,144
"17","aggravating_driving_no_car_insurance",1,1
"18","aggravating_driving_other",1,3
"19","aggravating_driving_passengers",14,52
"20","aggravating_driving_phone",4,9
"21","aggravating_driving_reckless",7,7
"22","aggravating_driving_road_traffic_act",2,2
"23","aggravating_driving_speed",17,42
"24","aggravating_driving_state_of_vehicle",2,2
"25","aggravating_drugs_consumption",2,2
"26","aggravating_drugs_delivery",1,1
"27","aggravating_drugs_import",1,6
"28","aggravating_drugs_possession",3,16
"29","aggravating_drugs_production",1,1
"30","aggravating_drugs_sale",9,91
"31","aggravating_drugs_storage",3,3
"32","aggravating_life_health_assault",1,1
"33","aggravating_life_health_death",1,7
"34","aggravating_life_health_intent",1,1
"35","aggravating_life_health_mistreatment",1,7
"36","aggravating_life_health_negligence",9,65
"37","aggravating_life_health_no_condom",4,5
"38","aggravating_life_health_psychological",13,50
"39","aggravating_life_health_violence",34,83
"40","aggravating_object_dangerous",5,130
"41","aggravating_object_knife",7,45
"42","aggravating_object_weapon",21,45
"43","aggravating_obstruction_arrest",1,1
"44","aggravating_organized_leadership",3,6
"45","aggravating_place_private",18,266
"46","aggravating_place_public",9,317
"47","aggravating_place_work",1,1
"48","aggravating_premeditated_murder",1,1
"49","aggravating_severe_abuse",15,186
"50","aggravating_severe_aggressive",4,4
"51","aggravating_severe_busy",1,1
"52","aggravating_severe_damage",25,62
"53","aggravating_severe_family_present",1,1
"54","aggravating_severe_financial",1,1
